compressed_size_bytes,compression_time_s,filter_col,format,min_col,query_name,result_value,rows,runs,select_col,selectivity,time_ms_median,time_ms_p95,variant
89412492,1.2757397209988994,column00,parquet,column03,selectivity,41790.8448726852,,7,column03,0.01,13.192227999752504,18.92345400119666,parquet_zstd
89412492,1.2757397209988994,column00,parquet,column03,selectivity,41790.8448726852,,7,column03,0.1,13.511838000340504,15.899792000709567,parquet_zstd
89412492,1.2757397209988994,column00,parquet,column03,selectivity,41790.8448726852,,7,column03,0.25,12.938928999574273,16.145589999723597,parquet_zstd
89412492,1.2757397209988994,column00,parquet,column03,selectivity,41790.8448726852,,7,column03,0.5,13.460858999678749,15.177139999650535,parquet_zstd
89412492,1.2757397209988994,column00,parquet,column03,selectivity,41790.8448726852,,7,column03,0.9,14.067878999412642,14.995941000961466,parquet_zstd
89412492,1.2757397209988994,column00,parquet,column03,full_scan_min,41790.8448726852,,7,column03,,11.91679700059467,15.185949001534027,parquet_zstd
89412492,1.2757397209988994,column00,parquet,column03,random_access,41790.8448726852,,7,column03,,8.493095001540496,13.673279998329235,parquet_zstd
480618135,4.271003121999456,column00,vortex,column03,selectivity,41790.8448726852,,7,column03,0.01,1.2427210003806977,1.808761000575032,vortex_compact
480618135,4.271003121999456,column00,vortex,column03,selectivity,41790.8448726852,,7,column03,0.1,1.2868609992437996,1.7687210001895437,vortex_compact
480618135,4.271003121999456,column00,vortex,column03,selectivity,41790.8448726852,,7,column03,0.25,1.9082609996985411,2.0509719997789944,vortex_compact
480618135,4.271003121999456,column00,vortex,column03,selectivity,41790.8448726852,,7,column03,0.5,2.158281999072642,2.348091000385466,vortex_compact
480618135,4.271003121999456,column00,vortex,column03,selectivity,41790.8448726852,,7,column03,0.9,2.6535819997661747,2.7079720002802787,vortex_compact
480618135,4.271003121999456,column00,vortex,column03,full_scan_min,41790.8448726852,,7,column03,,0.9526110006845556,1.037949999954435,vortex_compact
480618135,4.271003121999456,column00,vortex,column03,random_access,41790.8448726852,,7,column03,,0.9426810011063935,1.231311000083224,vortex_compact
