compressed_size_bytes,compression_time_s,filter_col,format,min_col,query_name,result_value,rows,runs,select_col,selectivity,time_ms_median,time_ms_p95,variant
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column01,0.01,3.4146529997087782,4.12493300063943,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column01,0.1,3.35951200031559,4.174763000264647,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column01,0.25,3.6689219996333122,4.8116239995579235,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column01,0.5,3.6460230003285687,4.287063000447233,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column01,0.9,3.6170929997751955,4.019842001071083,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column00,0.01,4.065752998940297,5.0283740001759725,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column00,0.1,3.8830329995107604,3.9910840005177306,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column00,0.25,4.301382999983616,6.153705999167869,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column00,0.5,4.315222999139223,4.35752400153433,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column00,0.9,3.8688540007569827,4.052914000567398,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column02,0.01,3.9671630001976155,4.359172999102157,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column02,0.1,3.9075249987945426,4.426403000252321,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column02,0.25,3.83058199986408,4.076772998814704,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column02,0.5,4.165373000432737,4.7753750004631,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column02,0.9,3.962241999033722,4.6627440005977405,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column04,0.01,3.9143430003605317,4.452884000784252,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column04,0.1,3.4067730011884123,4.269532999387593,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column04,0.25,3.5270730004413053,3.536013999109855,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column04,0.5,3.5601329982455354,4.406282998388633,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column04,0.9,3.6841130004177103,4.531874999884167,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column05,0.01,3.6541119989124127,3.727572999196127,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column05,0.1,3.8403840007958934,4.705784000179847,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column05,0.25,3.8348529997165315,4.055383000377333,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column05,0.5,3.9566539999214,4.34325300011551,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column05,0.9,3.8393229988287203,4.258332999597769,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column08,0.01,3.9713129990559537,4.205483000987442,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column08,0.1,3.8270330005616415,4.010402999483631,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column08,0.25,3.97532399983902,4.190433000985649,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column08,0.5,3.939502999855904,4.293715001040255,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column08,0.9,5.491304000315722,6.187443999806419,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column09,0.01,5.808813999465201,6.176515000333893,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column09,0.1,5.705483999918215,6.054774999938672,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column09,0.25,5.289124999762862,6.218664999323664,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column09,0.5,6.070813999031088,7.184794998465804,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column09,0.9,4.2666930003179,4.740393000247423,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column10,0.01,3.78383300085261,4.48490300004778,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column10,0.1,3.7516430002142442,4.165644999375218,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column10,0.25,3.706032999616582,3.9996939995035063,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column10,0.5,3.8854729991726344,4.0003340000112075,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column10,0.9,3.891753000061726,4.066423998665414,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column11,0.01,3.856672999972943,4.0291730001627,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column11,0.1,4.008902998975827,4.161994000241975,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column11,0.25,4.268334001608309,4.499734999626526,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column11,0.5,3.8139740008773515,3.857132000121055,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column11,0.9,3.7287540017132415,3.7481630006368505,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column12,0.01,3.640662000179873,3.817682998487726,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column12,0.1,3.882422999595292,4.067152998686652,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column12,0.25,3.8249629997153534,3.9522129991382826,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column12,0.5,3.835674000583822,4.093493000254966,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column12,0.9,4.085472999577178,4.36209500003315,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column13,0.01,4.152255000008154,4.232143000990618,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column13,0.1,3.7439420011651237,3.768414000660414,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column13,0.25,3.7888440001552226,3.9029830004437827,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column13,0.5,3.8716029994247947,4.897114000414149,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column13,0.9,3.9369229998555966,4.013502999441698,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column14,0.01,3.7989130014466355,4.698082999311737,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column14,0.1,3.4974730006069876,3.6358220004331088,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column14,0.25,3.476502000921755,3.7148840001464123,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column14,0.5,3.4869230003096163,4.233892999764066,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column14,0.9,3.2466819993715035,3.3359139997628517,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column15,0.01,4.094304000318516,4.462753999177949,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column15,0.1,3.5949439989053644,4.504952999923262,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column15,0.25,3.7536430008913158,3.9424730002792785,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column15,0.5,3.548222999597783,4.285552999135689,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column15,0.9,3.4033029987767804,4.162802999417181,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column16,0.01,3.2797929998196196,3.4872120013460517,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column16,0.1,3.220631999283796,3.2839329996932065,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column16,0.25,3.831932001048699,4.248242999892682,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column16,0.5,3.406691999771283,3.6415529993973905,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selectivity,0,,7,column16,0.9,3.494713000691263,3.7136030005058274,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,full_scan_min,0,,7,column01,,3.2509520005987724,3.3685729995340807,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,selective_predicate,0,,7,column01,,3.5552119989006314,3.7624630003847415,parquet_zstd
2281299,0.07304808000117191,column04,parquet,column01,point_lookup,2688,,7,column01,,6.49160499960999,6.855327001176192,parquet_zstd
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column01,0.01,4.13617400045041,4.316923999795108,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column01,0.1,3.894723000485101,3.9757930007908726,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column01,0.25,3.7572629989881534,3.814543000771664,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column01,0.5,3.8339029997587204,4.26207400050771,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column01,0.9,3.976292999141151,4.492353000387084,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column00,0.01,3.8382429993362166,4.1938440008379985,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column00,0.1,4.115003001061268,4.253213000993128,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column00,0.25,4.185895000773598,4.353832999186125,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column00,0.5,4.12000399956014,4.2121140013478,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column00,0.9,4.407704000186641,4.750923000756302,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column02,0.01,4.150713000854012,4.7898729990265565,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column02,0.1,4.563975000564824,4.649772999982815,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column02,0.25,4.289052998501575,5.384185000366415,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column02,0.5,4.631063000488211,5.153073998371838,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column02,0.9,3.872752999086515,4.629334000128438,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column04,0.01,4.371843000626541,4.731463999632979,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column04,0.1,4.145213000811054,4.860682998696575,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column04,0.25,4.120753999814042,4.856464000113192,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column04,0.5,4.011552999145351,4.191612999420613,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column04,0.9,3.975063000325463,4.716073999588843,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column05,0.01,4.331574000389082,4.641423000066425,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column05,0.1,3.9415629998984514,4.052502999911667,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column05,0.25,4.014292999272584,4.603803001373308,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column05,0.5,3.8125840001157485,4.294002999813529,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column05,0.9,4.484152999793878,4.893153000011807,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column08,0.01,4.482824000660912,4.766183999890927,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column08,0.1,3.9011829994706204,4.856505000134348,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column08,0.25,4.548813998553669,7.204614999864134,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column08,0.5,4.60632300018915,4.663454999899841,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column08,0.9,4.579284999636002,6.01352600097016,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column09,0.01,4.581442999551655,5.729516000428703,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column09,0.1,3.7905429999227636,4.419453000082285,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column09,0.25,4.615034000380547,4.656273000364308,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column09,0.5,4.107503000341239,4.458593000890687,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column09,0.9,4.229853000651929,4.473213999517611,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column10,0.01,4.018282999822986,4.566325000268989,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column10,0.1,3.699883000081172,4.634373000953929,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column10,0.25,4.47541299945442,4.923484000755707,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column10,0.5,4.614622999724816,5.324684001607238,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column10,0.9,4.975414000000455,5.062913998699514,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column11,0.01,4.21599299988884,4.764762999911909,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column11,0.1,4.600303000188433,4.658704001485603,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column11,0.25,3.7778729983983794,4.554053000902059,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column11,0.5,3.9366630007862113,4.858774000240373,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column11,0.9,3.8832030004414264,4.638393998902757,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column12,0.01,4.155033999268198,4.7106940000958275,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column12,0.1,3.740862999620731,4.429134000019985,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column12,0.25,3.930582999601029,4.761993999636616,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column12,0.5,3.9996140003495384,4.803222998816636,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column12,0.9,4.056142999615986,4.6913240003050305,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column13,0.01,4.608912999174208,4.6890930007066345,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column13,0.1,4.046685000503203,4.062362999320612,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column13,0.25,4.581712999424781,4.72117299977981,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column13,0.5,3.8582929992116988,4.000953000286245,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column13,0.9,3.766603998883511,4.5944930006953655,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column14,0.01,4.122162999919965,4.6069250001892215,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column14,0.1,4.3476039991219295,4.4786340004066005,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column14,0.25,3.965803000028245,4.043312999783666,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column14,0.5,3.8400029989134055,4.023415000119712,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column14,0.9,4.364303000329528,5.450053999084048,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column15,0.01,3.888893999828724,4.121182999369921,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column15,0.1,4.211363000649726,4.447924000487546,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column15,0.25,3.908623000825173,4.2405730000609765,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column15,0.5,4.126443000131985,4.247983999448479,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column15,0.9,3.9560130007885164,4.057172000102582,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column16,0.01,4.174723000687663,4.257333001078223,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column16,0.1,3.8900130002730293,4.0691429985599825,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column16,0.25,4.081203000168898,4.1091540006164,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column16,0.5,4.220274000545032,4.348352998931659,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,selectivity,0,,7,column16,0.9,3.9690030007477617,4.043962999276118,vortex_default
2645528,0.10557261600115453,column04,vortex,column01,full_scan_min,0,,7,column01,,3.934431999368826,4.526423999777762,vortex_default
