compressed_size_bytes,compression_time_s,filter_col,format,match_count,min_col,pattern,pattern_type,query_name,result_value,rows,runs,select_col,selectivity,target_selectivities,time_ms_median,time_ms_p95,variant
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1,,7,column10,0.01,,53.494226001930656,57.06139199901372,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1,,7,column10,0.1,,47.398137001437135,50.886002001789166,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1,,7,column10,0.25,,51.48528299832833,52.135604000795865,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1,,7,column10,0.5,,55.16058699868154,61.61129899919615,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1,,7,column10,0.9,,50.62222900232882,54.68099800054915,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003001363,,7,column01,0.01,,38.22763099742588,38.68966300069587,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000423,,7,column01,0.1,,38.34074200130999,42.419658002472715,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000134,,7,column01,0.25,,41.372395997314015,42.35743800018099,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000126,,7,column01,0.5,,37.36582900091889,37.60893999788095,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000126,,7,column01,0.9,,37.060930000734515,37.53818100085482,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003001363,,7,column02,0.01,,40.901436001149705,41.5347460002522,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000423,,7,column02,0.1,,39.44197400051053,40.31159499936621,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000134,,7,column02,0.25,,40.32842500237166,40.91275600148947,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000126,,7,column02,0.5,,40.7063359998574,40.82533499968122,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000126,,7,column02,0.9,,38.087231001554755,39.39436200016644,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003001017,,7,column03,0.01,,40.664874999492895,42.33680800098227,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000423,,7,column03,0.1,,40.24146399751771,40.416554002149496,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000134,,7,column03,0.25,,39.12357299850555,40.09470200253418,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000126,,7,column03,0.5,,38.176311001734575,39.63809400011087,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000126,,7,column03,0.9,,37.0169400011946,37.48647000247729,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000407,,7,column04,0.01,,33.816874001786346,35.178996997274226,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000134,,7,column04,0.1,,33.619803998590214,33.757815002900315,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000134,,7,column04,0.25,,34.06045500014443,34.446465000655735,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000134,,7,column04,0.5,,33.75961500205449,33.851512998808175,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000126,,7,column04,0.9,,39.25489299945184,47.4810650011932,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000407,,7,column05,0.01,,31.706611000117846,32.062181999208406,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000134,,7,column05,0.1,,31.938201002049027,32.30935200190288,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000134,,7,column05,0.25,,31.95564199995715,32.12280200023088,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000134,,7,column05,0.5,,32.35347199733951,32.99078299824032,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000126,,7,column05,0.9,,31.90058000109275,32.53504199892632,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000407,,7,column08,0.01,,34.05152299819747,35.296276000735816,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000134,,7,column08,0.1,,34.346445001574466,34.71633599838242,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000134,,7,column08,0.25,,33.77772399835521,34.26841499822331,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000134,,7,column08,0.5,,32.447081997815985,33.25175300051342,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000126,,7,column08,0.9,,32.59411199906026,32.7687729986792,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003003609,,7,column22,0.01,,34.659693999856245,35.27416699944297,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000530,,7,column22,0.1,,33.7624549974862,34.16068500155234,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000449,,7,column22,0.25,,33.35125299781794,33.43961399878026,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000126,,7,column22,0.5,,33.36629399927915,33.7872950003657,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000126,,7,column22,0.9,,33.09575299863354,34.0153149991238,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000126,,7,column25,0.01,,36.57534800004214,39.05888300141669,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000126,,7,column25,0.1,,35.983756002679,36.48397800134262,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000126,,7,column25,0.25,,34.52320600263192,34.86867600076948,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000126,,7,column25,0.5,,34.91234600005555,35.913627998525044,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000126,,7,column25,0.9,,35.441757001535734,36.376897998707136,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000126,,7,column26,0.01,,37.560150001809234,39.06119299790589,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000126,,7,column26,0.1,,36.739969000336714,37.38832999806618,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000126,,7,column26,0.25,,35.79438599990681,36.99980999954278,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000126,,7,column26,0.5,,35.38034700250137,36.298647999501554,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000126,,7,column26,0.9,,35.39509699839982,36.13620800024364,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000126,,7,column27,0.01,,36.98997000174131,38.304529000015464,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000126,,7,column27,0.1,,35.48844599936274,36.35281799870427,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000126,,7,column27,0.25,,35.0056860006589,35.724345998460194,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000126,,7,column27,0.5,,35.53131700027734,36.574139001459116,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selectivity,1003000126,,7,column27,0.9,,37.85068100114586,40.933035998023115,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,full_scan_min,1,,7,column10,,,47.92544700103463,55.9002199988754,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,selective_predicate,1003007329,,7,column10,,,40.98713499843143,50.65449199901195,parquet_zstd
378938041,4.393187622001278,column24,parquet,,column10,,,random_access,1,,7,column10,,,103.93098799977452,110.46400600025663,parquet_zstd
378938041,4.393187622001278,column24,parquet,87990,column10,800%,prefix,like_predicate,87990,,7,column06,0.009612954841399355,0.01,34.08279499853961,40.24787500020466,parquet_zstd
378938041,4.393187622001278,column24,parquet,200712,column10,930%,prefix,like_predicate,200712,,7,column06,0.021927893989395923,"0.1,0.25,0.5,0.9",32.80755099694943,33.72844499972416,parquet_zstd
378938041,4.393187622001278,column24,parquet,73162,column10,%283,suffix,like_predicate,73162,,7,column06,0.00799298786346698,0.01,31.687601000157883,34.027403002255596,parquet_zstd
378938041,4.393187622001278,column24,parquet,138211,column10,%008,suffix,like_predicate,138211,,7,column06,0.015099626111883695,"0.1,0.25,0.5,0.9",29.52383599767927,30.685749999975087,parquet_zstd
